cpu_usage_percent,ram_usage_percent,active_jobs,idle_time_minutes,power_consumption_watts,utilization_score,monthly_cost_usd,recommendation
80.2,66.9,5,340,365,73.5,190.79,Keep Running
43.9,54.9,2,641,213,49.4,120.2,Keep Running
25.6,26.0,4,642,169,25.8,61.39,Sleep Mode
39.9,46.2,6,613,201,43.1,114.53,Sleep Mode
12.1,25.7,1,733,129,18.9,50.69,Shutdown
23.9,23.1,1,536,154,23.5,60.74,Sleep Mode
48.6,18.2,4,448,241,33.4,93.51,Keep Running
79.6,74.1,8,332,316,76.8,185.92,Keep Running
26.0,30.6,3,635,155,28.3,83.09,Sleep Mode
36.5,19.9,4,522,198,28.2,78.41,Sleep Mode
53.1,79.8,1,708,253,66.4,161.01,Keep Running
61.1,33.7,9,401,276,47.4,128.0,Keep Running
96.0,86.1,8,314,407,91.1,230.16,Keep Running
25.5,13.7,4,571,158,19.6,59.8,Sleep Mode
66.5,54.8,6,154,292,60.7,140.3,Keep Running
12.6,11.5,0,767,119,12.1,40.46,Shutdown
37.7,47.7,0,625,191,42.7,102.48,Sleep Mode
1.0,1.5,0,706,95,1.3,17.23,Shutdown
40.1,13.6,5,565,206,26.9,76.11,Keep Running
11.9,31.4,4,706,104,21.6,60.27,Shutdown
63.8,60.3,4,598,289,62.0,153.67,Keep Running
11.5,1.0,0,701,107,6.2,22.27,Shutdown
41.4,26.2,4,264,193,33.8,88.91,Keep Running
28.3,25.7,0,698,183,27.0,68.15,Sleep Mode
100.0,89.0,12,71,451,94.5,241.58,Keep Running
27.8,50.3,2,654,161,39.0,96.7,Sleep Mode
51.5,32.3,8,433,245,41.9,124.56,Keep Running
6.3,1.0,0,739,114,3.7,21.03,Shutdown
3.8,24.4,0,772,109,14.1,46.3,Shutdown
14.9,33.0,0,669,97,23.9,63.81,Shutdown
18.6,25.7,0,530,129,22.1,59.49,Shutdown
39.8,49.2,1,410,247,44.5,132.19,Sleep Mode
100.0,100.0,12,313,436,100.0,251.32,Keep Running
38.2,49.9,4,539,191,44.1,113.75,Sleep Mode
86.1,55.7,7,182,366,70.9,183.79,Keep Running
35.3,24.4,2,585,199,29.9,82.74,Sleep Mode
28.0,14.8,5,437,190,21.4,69.1,Sleep Mode
47.8,85.1,7,482,243,66.4,163.9,Keep Running
74.3,83.0,5,181,302,78.6,196.21,Keep Running
55.0,37.8,5,350,290,46.4,128.84,Keep Running
37.9,42.2,6,810,189,40.0,101.38,Sleep Mode
21.4,18.6,1,701,151,20.0,64.93,Sleep Mode
22.2,40.1,2,673,151,31.1,88.91,Sleep Mode
28.7,30.2,2,523,166,29.4,82.15,Sleep Mode
43.9,27.5,7,286,243,35.7,109.13,Keep Running
22.9,15.0,8,734,164,18.9,58.39,Sleep Mode
11.4,9.4,3,477,86,10.4,36.22,Sleep Mode
63.1,63.5,6,395,282,63.3,162.37,Keep Running
10.4,24.0,5,452,94,17.2,39.56,Sleep Mode
1.0,26.6,0,755,77,13.8,41.03,Shutdown
90.6,63.5,11,72,388,77.0,198.97,Keep Running
82.1,65.6,6,191,363,73.8,199.8,Keep Running
35.3,50.4,5,591,166,42.9,103.75,Sleep Mode
33.8,45.9,3,611,179,39.9,99.42,Sleep Mode
58.7,100.0,6,439,287,79.3,185.47,Keep Running
49.3,40.6,3,216,237,44.9,104.53,Keep Running
64.5,49.5,10,320,290,57.0,148.17,Keep Running
25.2,33.9,4,527,148,29.5,71.36,Sleep Mode
68.5,66.2,3,455,303,67.3,171.22,Keep Running
65.0,56.9,6,128,289,60.9,150.95,Keep Running
27.9,22.4,5,884,184,25.1,64.13,Sleep Mode
1.0,1.0,0,860,58,1.0,10.0,Shutdown
23.3,25.8,2,697,124,24.5,60.34,Sleep Mode
35.7,36.2,3,582,193,35.9,95.49,Sleep Mode
27.0,27.4,5,767,145,27.2,67.27,Sleep Mode
62.2,67.1,5,480,286,64.6,162.24,Keep Running
32.1,49.7,1,644,171,40.9,96.14,Sleep Mode
75.3,73.0,7,384,333,74.1,187.35,Keep Running
56.7,44.2,4,445,241,50.4,138.64,Keep Running
61.1,74.6,4,411,294,67.9,173.4,Keep Running
11.1,21.5,0,839,104,16.3,35.61,Shutdown
28.0,48.0,3,562,179,38.0,100.94,Sleep Mode
37.4,67.0,5,640,197,52.2,128.0,Sleep Mode
43.3,41.7,2,418,233,42.5,112.57,Keep Running
100.0,88.8,11,192,417,94.4,237.31,Keep Running
28.3,18.9,3,598,175,23.6,66.77,Sleep Mode
11.3,6.0,0,697,114,8.6,27.08,Shutdown
37.0,34.0,3,708,196,35.5,99.39,Sleep Mode
89.1,90.8,8,252,384,90.0,226.22,Keep Running
29.1,43.7,0,660,126,36.4,86.29,Sleep Mode
29.3,23.6,1,847,170,26.5,75.5,Sleep Mode
55.1,27.5,4,382,269,41.3,111.09,Keep Running
15.3,32.4,0,534,128,23.9,66.37,Shutdown
15.4,19.0,2,522,104,17.2,55.71,Shutdown
1.0,33.1,2,908,63,17.1,41.78,Shutdown
52.7,61.0,7,625,258,56.8,146.52,Keep Running
17.6,43.5,4,692,126,30.6,79.49,Shutdown
61.0,41.0,6,153,295,51.0,135.23,Keep Running
21.5,42.3,4,759,143,31.9,76.18,Sleep Mode
29.5,22.5,3,527,182,26.0,79.19,Sleep Mode
59.5,89.7,7,604,257,74.6,181.87,Keep Running
65.9,60.5,8,565,308,63.2,170.52,Keep Running
14.7,11.0,0,936,129,12.8,35.37,Shutdown
84.9,82.6,9,358,381,83.8,214.8,Keep Running
17.9,19.3,0,555,130,18.6,59.05,Shutdown
43.8,88.7,7,377,227,66.2,153.68,Keep Running
36.8,69.6,4,368,206,53.2,134.04,Sleep Mode
42.8,40.4,3,481,205,41.6,110.41,Keep Running
43.6,37.8,5,563,242,40.7,122.94,Keep Running
49.9,32.9,3,569,229,41.4,114.92,Keep Running
51.7,37.9,3,303,241,44.8,125.73,Keep Running
11.1,9.4,0,702,115,10.2,30.53,Shutdown
82.8,75.8,10,229,383,79.3,201.42,Keep Running
95.9,100.0,11,160,411,98.0,248.62,Keep Running
49.5,48.1,7,314,233,48.8,128.24,Keep Running
2.9,1.0,0,899,97,2.0,18.5,Shutdown
1.0,27.7,1,867,60,14.4,35.11,Shutdown
44.8,64.3,2,392,239,54.5,142.69,Keep Running
1.0,25.4,0,620,50,13.2,33.19,Shutdown
35.9,53.1,4,516,182,44.5,120.51,Sleep Mode
98.1,98.8,10,110,445,98.5,246.49,Keep Running
42.2,43.4,3,361,187,42.8,102.08,Keep Running
46.6,30.8,9,430,204,38.7,92.58,Keep Running
29.4,10.1,5,534,170,19.7,64.77,Sleep Mode
39.0,27.2,2,382,199,33.1,86.97,Sleep Mode
45.0,70.1,1,218,209,57.5,127.44,Keep Running
35.8,32.6,7,662,184,34.2,89.79,Sleep Mode
1.0,1.0,1,831,82,1.0,10.0,Shutdown
89.6,87.9,6,0,373,88.7,227.55,Keep Running
43.3,42.1,2,531,205,42.7,112.13,Keep Running
58.0,69.6,7,515,286,63.8,158.97,Keep Running
45.6,81.7,1,267,224,63.6,158.18,Keep Running
49.9,45.7,3,465,241,47.8,128.34,Keep Running
78.5,74.8,8,307,339,76.6,192.76,Keep Running
45.5,66.2,5,444,240,55.9,143.68,Keep Running
72.6,28.1,5,111,324,50.4,141.42,Keep Running
74.0,78.0,7,350,345,76.0,193.9,Keep Running
44.2,33.3,9,620,214,38.8,102.15,Keep Running
76.4,83.4,6,222,363,79.9,208.62,Keep Running
37.6,30.8,4,456,187,34.2,94.9,Sleep Mode
46.6,57.2,1,626,252,51.9,138.98,Keep Running
79.4,100.0,4,180,356,89.7,225.27,Keep Running
3.4,39.1,0,882,72,21.2,49.18,Shutdown
56.3,42.4,3,426,267,49.3,134.43,Keep Running
53.6,60.5,2,547,282,57.0,158.3,Keep Running
81.9,73.9,7,131,333,77.9,198.58,Keep Running
29.6,18.1,3,607,158,23.9,61.98,Sleep Mode
73.4,100.0,6,309,325,86.7,208.02,Keep Running
72.3,49.0,7,316,327,60.7,158.3,Keep Running
53.9,28.9,7,286,234,41.4,108.8,Keep Running
51.7,37.5,4,570,247,44.6,124.79,Keep Running
20.4,24.3,2,723,152,22.3,66.74,Sleep Mode
91.9,95.2,11,386,388,93.5,234.57,Keep Running
17.1,10.5,0,516,123,13.8,39.71,Shutdown
38.1,33.4,3,624,222,35.7,102.58,Sleep Mode
45.3,30.3,4,527,249,37.8,109.48,Keep Running
76.0,79.9,9,268,325,77.9,196.7,Keep Running
73.3,89.6,8,327,312,81.4,196.71,Keep Running
21.6,55.7,4,694,141,38.6,93.93,Sleep Mode
93.0,100.0,10,295,379,96.5,235.8,Keep Running
55.7,46.9,5,430,266,51.3,147.42,Keep Running
42.9,37.4,4,536,221,40.1,105.1,Keep Running
80.1,83.7,9,356,358,81.9,206.18,Keep Running
35.4,46.3,6,506,199,40.8,108.65,Sleep Mode
43.1,54.9,5,708,187,49.0,124.61,Keep Running
22.4,45.1,2,584,139,33.8,82.49,Sleep Mode
94.7,83.5,8,250,407,89.1,221.5,Keep Running
82.6,91.6,7,179,344,87.1,213.95,Keep Running
77.4,62.4,8,468,331,69.9,175.75,Keep Running
1.0,20.0,4,710,71,10.5,28.47,Shutdown
37.9,42.4,1,453,189,40.2,106.35,Sleep Mode
17.4,29.0,5,730,125,23.2,54.99,Shutdown
48.0,62.3,5,408,212,55.2,135.24,Keep Running
19.4,25.0,2,634,157,22.2,65.49,Shutdown
1.0,4.6,1,808,76,2.8,15.19,Shutdown
22.3,20.1,3,718,168,21.2,49.26,Sleep Mode
78.2,48.6,6,398,381,63.4,170.36,Keep Running
61.4,74.5,5,295,283,67.9,167.19,Keep Running
13.8,1.0,0,730,118,7.4,35.47,Shutdown
83.5,83.8,5,325,362,83.6,215.63,Keep Running
28.5,24.9,0,591,160,26.7,69.63,Sleep Mode
100.0,86.4,11,0,426,93.2,232.83,Keep Running
1.0,7.7,0,964,77,4.4,23.04,Shutdown
42.9,51.5,6,469,227,47.2,119.73,Keep Running
66.1,34.5,7,251,303,50.3,135.18,Keep Running
59.8,65.8,3,389,284,62.8,166.63,Keep Running
96.9,90.0,5,49,408,93.4,241.57,Keep Running
37.9,26.8,2,637,202,32.4,84.16,Sleep Mode
61.6,63.1,7,480,306,62.4,159.97,Keep Running
62.5,37.5,8,412,284,50.0,130.0,Keep Running
16.9,48.8,1,672,131,32.9,87.05,Shutdown
56.3,83.0,4,411,263,69.7,171.86,Keep Running
37.7,61.3,2,500,211,49.5,123.84,Sleep Mode
20.7,41.4,1,671,146,31.1,76.93,Sleep Mode
65.9,65.3,8,418,331,65.6,167.3,Keep Running
28.7,39.9,1,807,156,34.3,90.4,Sleep Mode
34.2,52.5,1,619,207,43.3,111.59,Sleep Mode
66.5,59.9,10,152,290,63.2,160.3,Keep Running
40.6,53.8,6,512,207,47.2,126.34,Keep Running
10.6,31.5,5,680,125,21.0,56.52,Shutdown
41.0,67.7,4,369,223,54.3,138.17,Keep Running
49.4,56.5,5,344,240,52.9,130.7,Keep Running
55.7,45.1,6,132,256,50.4,125.4,Keep Running
35.4,28.6,5,439,201,32.0,97.36,Sleep Mode
16.2,23.7,3,793,130,20.0,55.68,Shutdown
1.0,7.3,0,855,99,4.1,17.25,Shutdown
65.3,49.4,4,322,281,57.3,149.66,Keep Running
41.9,52.3,3,510,228,47.1,124.41,Keep Running
51.0,35.8,6,621,223,43.4,117.62,Keep Running
87.8,74.3,13,131,374,81.1,208.67,Keep Running
49.3,56.3,4,400,241,52.8,132.51,Keep Running
32.4,30.9,2,476,180,31.7,90.2,Sleep Mode
22.6,27.9,1,758,153,25.3,69.3,Sleep Mode
28.5,54.3,1,613,133,41.4,99.89,Sleep Mode
29.3,30.5,1,702,161,29.9,75.89,Sleep Mode
52.8,48.3,5,216,276,50.5,129.98,Keep Running
17.0,29.1,4,706,118,23.1,67.7,Shutdown
55.7,55.0,4,407,246,55.3,138.6,Keep Running
33.7,40.7,1,608,179,37.2,99.01,Sleep Mode
45.6,45.1,4,566,219,45.3,122.76,Keep Running
22.0,30.0,2,618,162,26.0,71.53,Sleep Mode
69.3,52.6,11,373,320,60.9,158.27,Keep Running
29.1,31.4,0,334,195,30.3,83.81,Sleep Mode
