job_type,cpu_required,memory_required_gb,estimated_runtime_minutes,priority,current_node_load,available_cpu_cores,available_memory_gb,recommended_node
Analytics,22,64,577,Medium,8,32,100,Node-060
Data Processing,12,39,317,High,10,61,246,Node-061
Analytics,28,94,978,Medium,26,42,149,Node-062
ETL,22,64,531,Critical,71,37,157,Node-063
Data Processing,14,61,569,High,87,25,127,Node-064
Data Processing,29,83,861,Critical,52,55,228,Node-065
ML Training,1,15,43,High,11,28,142,Node-066
Data Processing,7,33,368,High,42,10,52,Node-067
Data Processing,15,54,453,High,42,48,187,Node-068
Analytics,30,106,772,High,69,60,233,Node-069
ETL,24,84,534,Medium,88,33,136,Node-070
ETL,17,54,282,Medium,52,34,146,Node-071
ML Training,19,68,555,High,22,60,256,Node-072
Analytics,7,34,233,High,92,18,82,Node-073
Analytics,11,36,406,High,6,16,87,Node-074
ML Training,11,19,370,Medium,31,60,253,Node-075
Simulation,31,102,839,Medium,44,32,167,Node-076
Analytics,25,87,662,Low,43,47,212,Node-077
ETL,24,82,702,Low,23,56,217,Node-078
ML Training,15,67,456,Medium,30,28,149,Node-079
ETL,23,61,490,Critical,65,37,190,Node-080
ETL,11,48,323,Medium,41,62,256,Node-081
ML Training,8,40,336,Low,85,55,196,Node-082
ML Training,12,37,546,High,31,43,206,Node-083
Data Processing,10,42,442,High,25,47,232,Node-084
Data Processing,16,48,461,High,10,12,78,Node-085
Simulation,2,5,230,Critical,48,12,24,Node-086
Data Processing,32,103,989,Low,56,32,142,Node-087
ML Training,10,35,329,High,94,37,161,Node-088
Simulation,1,3,186,High,51,34,138,Node-089
Simulation,19,66,543,High,6,64,256,Node-090
ML Training,8,14,291,Critical,21,21,105,Node-091
ML Training,20,67,375,High,74,34,130,Node-092
Data Processing,17,73,484,High,49,20,108,Node-093
Analytics,4,10,165,Critical,22,35,150,Node-094
ML Training,9,11,261,Medium,38,50,247,Node-095
ML Training,11,36,310,High,48,21,101,Node-096
Data Processing,7,37,266,Medium,37,39,165,Node-097
Analytics,30,96,784,Medium,6,50,197,Node-098
Analytics,3,3,257,Medium,68,52,201,Node-099
Data Processing,18,51,424,Medium,85,63,256,Node-100
Data Processing,26,80,745,Medium,77,33,158,Node-001
ML Training,8,31,401,High,43,39,188,Node-002
ETL,25,95,448,High,53,55,228,Node-003
Analytics,13,38,499,Low,82,47,173,Node-004
Data Processing,26,83,509,High,58,43,191,Node-005
ML Training,23,83,713,Critical,84,59,256,Node-006
Data Processing,12,27,357,Low,62,17,77,Node-007
ETL,26,73,885,Medium,51,14,95,Node-008
ML Training,18,55,493,High,75,31,140,Node-009
Simulation,11,47,245,Low,34,20,124,Node-010
Analytics,10,41,218,Critical,56,12,80,Node-011
ETL,10,33,289,High,67,40,179,Node-012
ML Training,26,72,612,High,68,24,119,Node-013
Analytics,3,29,212,High,8,62,256,Node-014
ML Training,2,17,197,Medium,86,46,210,Node-015
Data Processing,31,94,772,High,71,64,256,Node-016
Data Processing,25,93,536,High,19,19,69,Node-017
Data Processing,6,28,272,Low,63,35,150,Node-018
ETL,31,98,629,Medium,77,56,209,Node-019
ML Training,8,39,250,Low,71,30,125,Node-020
ML Training,7,32,177,High,62,49,184,Node-021
Analytics,12,48,339,Low,47,46,197,Node-022
ML Training,9,34,298,Medium,45,30,153,Node-023
Data Processing,1,15,203,Low,92,50,220,Node-024
ML Training,4,20,191,Low,77,21,95,Node-025
Analytics,25,84,751,High,73,57,240,Node-026
Simulation,11,36,208,High,86,28,109,Node-027
Data Processing,32,84,869,Medium,47,17,81,Node-028
Data Processing,4,25,43,High,16,38,185,Node-029
ETL,30,83,745,Critical,43,18,88,Node-030
Simulation,15,73,545,High,22,32,152,Node-031
ML Training,9,32,499,Medium,91,54,225,Node-032
Simulation,14,36,372,High,67,17,102,Node-033
Simulation,19,72,434,Medium,61,57,251,Node-034
ETL,17,74,748,Medium,25,55,224,Node-035
ML Training,24,75,479,High,63,40,175,Node-036
ETL,16,57,330,High,18,56,245,Node-037
ML Training,16,39,531,Medium,7,31,97,Node-038
Data Processing,7,33,285,Critical,74,28,138,Node-039
Data Processing,15,67,315,High,43,31,137,Node-040
Simulation,13,43,390,Medium,19,34,157,Node-041
ML Training,9,39,424,Medium,89,26,102,Node-042
Analytics,5,22,156,High,15,35,194,Node-043
Data Processing,9,42,123,High,75,13,98,Node-044
ETL,25,72,453,Low,25,52,231,Node-045
ETL,4,26,74,Critical,8,10,70,Node-046
Data Processing,7,33,360,High,45,37,143,Node-047
Simulation,10,36,368,High,11,13,95,Node-048
ML Training,15,76,521,High,48,49,191,Node-049
Data Processing,7,25,217,Low,62,51,213,Node-050
Simulation,6,25,225,High,80,52,234,Node-051
ETL,24,86,663,Medium,72,26,147,Node-052
ETL,12,57,244,High,7,46,213,Node-053
Analytics,25,79,653,Medium,55,43,193,Node-054
Data Processing,27,100,630,Medium,65,22,90,Node-055
ML Training,11,26,131,High,24,38,141,Node-056
Analytics,9,44,432,High,83,57,256,Node-057
Data Processing,8,31,371,Critical,26,21,98,Node-058
ETL,22,77,502,High,77,43,203,Node-059
Analytics,14,61,518,High,5,12,21,Node-060
ETL,31,103,763,Medium,47,42,171,Node-061
ML Training,13,47,356,Critical,26,64,256,Node-062
ETL,26,95,475,High,79,55,212,Node-063
Data Processing,22,77,669,High,7,49,244,Node-064
Data Processing,3,19,51,Low,30,51,226,Node-065
ML Training,4,19,113,Medium,32,28,139,Node-066
Simulation,9,47,251,Medium,90,49,225,Node-067
ML Training,20,69,549,Medium,57,31,170,Node-068
Analytics,17,40,267,High,35,17,63,Node-069
Analytics,13,48,285,Low,74,42,193,Node-070
Data Processing,17,73,302,Medium,5,58,243,Node-071
Data Processing,10,33,347,Medium,26,22,105,Node-072
ML Training,17,61,539,High,81,22,107,Node-073
Simulation,29,96,824,Medium,16,45,214,Node-074
Data Processing,17,56,412,Medium,63,14,60,Node-075
ML Training,21,60,625,Low,10,35,156,Node-076
Data Processing,26,89,658,Medium,81,44,196,Node-077
Analytics,18,63,437,High,47,62,253,Node-078
ML Training,6,31,66,High,28,34,125,Node-079
Data Processing,13,65,545,Low,32,8,32,Node-080
ML Training,13,73,319,Medium,31,18,102,Node-081
Data Processing,7,20,327,High,88,57,244,Node-082
ETL,7,30,407,Medium,94,62,256,Node-083
Simulation,16,52,391,Low,25,23,102,Node-084
Analytics,1,22,126,Low,5,8,52,Node-085
Analytics,16,43,507,Low,11,16,68,Node-086
Analytics,29,90,633,Low,70,55,226,Node-087
Data Processing,21,72,592,Medium,61,53,256,Node-088
Simulation,2,21,230,Medium,71,54,230,Node-089
Simulation,28,84,650,Medium,28,54,244,Node-090
Data Processing,22,67,608,Medium,17,50,238,Node-091
ETL,17,49,410,Critical,63,46,198,Node-092
Data Processing,30,96,784,Critical,73,43,168,Node-093
Data Processing,3,16,133,Medium,16,20,109,Node-094
Data Processing,29,90,553,High,33,36,150,Node-095
Analytics,30,96,648,High,27,37,190,Node-096
ML Training,16,65,536,High,75,27,140,Node-097
Data Processing,8,30,266,Low,18,18,101,Node-098
ML Training,26,90,599,Medium,60,51,206,Node-099
Simulation,16,57,509,High,24,14,53,Node-100
ML Training,27,86,945,Low,35,58,242,Node-001
ML Training,12,65,676,Medium,81,42,195,Node-002
Analytics,16,51,318,Critical,33,63,256,Node-003
ETL,28,80,758,Medium,39,42,183,Node-004
Data Processing,8,22,289,High,10,17,70,Node-005
ML Training,9,37,487,Critical,37,18,97,Node-006
Data Processing,21,74,594,High,79,32,165,Node-007
Data Processing,22,69,541,High,14,31,152,Node-008
Analytics,10,27,280,Medium,58,10,40,Node-009
Analytics,8,35,395,Medium,40,41,137,Node-010
Data Processing,32,106,961,Low,67,13,68,Node-011
ETL,15,52,596,High,6,31,127,Node-012
ML Training,1,15,240,High,46,26,107,Node-013
Data Processing,14,68,349,Medium,19,22,100,Node-014
Data Processing,17,54,647,Low,19,44,210,Node-015
Data Processing,28,82,699,Medium,37,23,116,Node-016
Analytics,16,46,177,Low,55,64,256,Node-017
ML Training,2,22,260,High,35,11,22,Node-018
Analytics,23,81,692,Medium,12,26,162,Node-019
ML Training,31,100,788,High,17,39,192,Node-020
ML Training,2,13,136,Medium,18,30,144,Node-021
ML Training,6,28,251,Medium,46,49,227,Node-022
ETL,22,80,509,Medium,67,30,141,Node-023
Analytics,5,13,177,Medium,59,40,177,Node-024
ETL,28,92,504,High,32,26,101,Node-025
ML Training,14,40,360,High,43,36,159,Node-026
ETL,25,94,601,Low,22,63,237,Node-027
Data Processing,10,46,246,High,55,54,238,Node-028
Analytics,5,14,208,Low,77,34,150,Node-029
Analytics,14,52,295,Low,86,26,98,Node-030
Analytics,26,85,775,High,56,17,69,Node-031
ML Training,2,22,195,High,62,25,134,Node-032
Data Processing,28,78,823,High,9,54,256,Node-033
Data Processing,23,73,639,Medium,10,63,256,Node-034
ETL,18,84,482,Medium,62,14,33,Node-035
Simulation,28,89,740,Critical,15,56,249,Node-036
Data Processing,6,25,292,Low,91,64,256,Node-037
ML Training,30,105,749,High,69,19,97,Node-038
Analytics,2,12,225,Medium,66,55,220,Node-039
Simulation,9,55,269,Medium,81,43,168,Node-040
Simulation,25,88,678,Low,30,46,222,Node-041
ML Training,19,61,286,High,14,46,196,Node-042
ML Training,15,55,551,Medium,20,18,57,Node-043
Analytics,1,21,230,Low,34,31,155,Node-044
Analytics,1,9,101,Medium,64,48,197,Node-045
Data Processing,17,65,459,High,47,28,131,Node-046
ML Training,32,114,666,High,44,8,38,Node-047
Simulation,19,70,362,Critical,10,43,183,Node-048
ML Training,4,10,10,Medium,20,11,65,Node-049
Analytics,6,20,266,High,54,19,74,Node-050
ETL,12,38,370,Critical,13,23,118,Node-051
Analytics,31,88,714,High,31,11,60,Node-052
ML Training,11,38,406,Low,37,60,231,Node-053
ETL,15,49,447,Critical,45,41,215,Node-054
Data Processing,32,102,715,Medium,52,22,110,Node-055
Data Processing,15,63,439,High,48,19,110,Node-056
Simulation,7,20,222,Low,80,43,196,Node-057
Data Processing,32,102,727,Low,13,30,113,Node-058
Simulation,12,73,337,Medium,23,46,196,Node-059
ML Training,20,79,348,Low,34,43,141,Node-060
Simulation,3,11,30,Critical,52,29,132,Node-061
Simulation,8,19,143,Low,34,38,163,Node-062
Data Processing,6,37,221,High,24,37,167,Node-063
Data Processing,9,39,413,Medium,5,15,72,Node-064
ML Training,10,40,271,Critical,16,64,256,Node-065
ETL,11,41,320,Low,62,62,256,Node-066
Data Processing,14,51,569,Low,77,61,256,Node-067
Analytics,30,89,800,Medium,17,38,155,Node-068
ML Training,26,85,590,Medium,51,27,123,Node-069
ML Training,13,50,390,High,67,44,183,Node-070
ML Training,14,36,499,Low,56,14,31,Node-071
Data Processing,9,31,465,Medium,58,31,153,Node-072
ETL,8,30,340,High,17,60,256,Node-073
Simulation,26,93,526,Medium,27,47,222,Node-074
Analytics,7,7,312,Medium,29,47,191,Node-075
ML Training,18,46,292,Medium,86,38,169,Node-076
Simulation,16,77,475,Low,20,54,198,Node-077
ETL,18,53,565,Medium,79,47,208,Node-078
Analytics,2,18,193,High,76,18,102,Node-079
ML Training,2,2,156,Low,24,9,81,Node-080
Analytics,9,26,251,High,13,47,175,Node-081
Data Processing,21,82,451,Low,42,14,36,Node-082
Data Processing,26,87,496,Medium,83,29,136,Node-083
Data Processing,15,49,368,Medium,92,37,154,Node-084
Simulation,2,7,317,Medium,39,58,229,Node-085
Analytics,5,9,195,Critical,56,19,106,Node-086
ML Training,8,48,137,Medium,82,23,115,Node-087
Analytics,9,27,347,High,71,43,179,Node-088
Data Processing,12,54,269,Low,55,57,241,Node-089
Data Processing,4,31,244,Medium,27,28,128,Node-090
ML Training,20,76,638,Medium,68,32,119,Node-091
Simulation,5,16,245,Medium,38,11,86,Node-092
Data Processing,29,87,692,High,71,25,118,Node-093
ML Training,8,32,292,Low,26,19,73,Node-094
Analytics,25,87,635,High,46,37,164,Node-095
ETL,28,90,646,High,61,50,207,Node-096
ETL,1,21,243,Critical,89,46,184,Node-097
Analytics,17,68,594,Medium,40,21,113,Node-098
Data Processing,17,58,340,Medium,83,16,73,Node-099
Simulation,7,42,274,High,45,46,211,Node-100
Analytics,18,71,333,Medium,88,20,97,Node-001
Simulation,5,24,129,High,27,44,212,Node-002
ETL,4,21,107,Low,38,51,255,Node-003
Data Processing,19,86,542,Medium,48,9,28,Node-004
Data Processing,20,71,495,Medium,49,63,256,Node-005
Simulation,19,53,476,High,79,18,100,Node-006
ML Training,20,76,512,Critical,56,64,256,Node-007
Analytics,17,69,584,Critical,26,63,256,Node-008
Data Processing,19,81,407,Low,25,23,106,Node-009
Data Processing,13,46,196,Medium,78,20,41,Node-010
ML Training,4,29,137,High,5,53,208,Node-011
ML Training,14,31,457,Critical,33,57,222,Node-012
Analytics,26,81,591,Medium,77,58,232,Node-013
ETL,9,21,340,Critical,44,14,69,Node-014
ML Training,18,69,442,Critical,13,9,60,Node-015
Analytics,4,26,246,Low,35,51,247,Node-016
Analytics,20,61,588,Medium,6,33,133,Node-017
Simulation,29,89,783,Low,78,53,237,Node-018
ML Training,26,95,579,High,47,13,68,Node-019
Data Processing,20,69,509,High,93,44,215,Node-020
Analytics,4,15,250,Medium,65,29,163,Node-021
ML Training,32,102,655,High,76,40,169,Node-022
ETL,16,50,610,High,50,51,216,Node-023
ETL,31,98,773,Critical,55,29,122,Node-024
ML Training,29,86,584,Low,41,50,256,Node-025
Analytics,29,92,764,Medium,62,53,256,Node-026
Analytics,18,76,585,High,79,36,152,Node-027
ML Training,3,25,11,Critical,61,37,179,Node-028
Data Processing,10,34,432,High,6,14,67,Node-029
Data Processing,16,55,357,Low,44,54,256,Node-030
ML Training,14,44,389,High,41,58,234,Node-031
ETL,13,40,428,High,87,29,127,Node-032
ML Training,31,89,786,Medium,61,52,233,Node-033
Simulation,21,50,544,High,23,20,72,Node-034
ML Training,20,60,516,Medium,91,50,212,Node-035
Simulation,16,55,626,Medium,85,27,110,Node-036
ML Training,18,71,629,Critical,93,62,230,Node-037
Analytics,2,17,188,High,83,18,87,Node-038
Analytics,24,86,588,Medium,91,61,256,Node-039
Simulation,6,31,305,Medium,61,11,44,Node-040
Analytics,9,29,340,Medium,20,8,86,Node-041
Data Processing,14,57,526,High,87,35,159,Node-042
ETL,16,47,583,Medium,78,34,136,Node-043
ETL,9,24,330,Low,93,25,118,Node-044
Data Processing,28,72,533,Medium,67,13,36,Node-045
Analytics,13,65,248,Medium,81,43,188,Node-046
Data Processing,12,39,508,Critical,20,30,149,Node-047
Analytics,7,25,179,Critical,28,57,256,Node-048
Analytics,32,108,790,Critical,75,57,256,Node-049
Data Processing,7,25,100,Medium,14,13,45,Node-050
Data Processing,4,2,119,Medium,58,27,129,Node-051
ML Training,2,6,85,High,57,40,179,Node-052
Data Processing,9,21,274,Medium,14,54,222,Node-053
Simulation,31,103,675,High,56,56,239,Node-054
ETL,24,81,818,Critical,53,38,166,Node-055
ML Training,23,86,645,High,15,34,140,Node-056
Analytics,27,97,678,High,84,53,214,Node-057
Data Processing,24,72,584,High,20,23,109,Node-058
ETL,10,38,418,Low,16,38,166,Node-059
ETL,9,37,211,High,19,31,139,Node-060
ML Training,16,50,401,Critical,44,11,53,Node-061
ML Training,4,9,253,High,42,28,94,Node-062
Simulation,29,107,719,High,48,51,241,Node-063
ML Training,1,21,10,High,58,10,36,Node-064
ML Training,21,69,596,Medium,67,23,103,Node-065
Data Processing,22,84,795,Medium,92,46,187,Node-066
Analytics,16,57,546,Medium,14,36,134,Node-067
Data Processing,22,82,608,Medium,47,31,127,Node-068
ETL,21,60,605,Critical,87,35,160,Node-069
Analytics,1,4,156,Critical,85,14,41,Node-070
Data Processing,27,93,728,Low,73,18,72,Node-071
Data Processing,7,6,510,Medium,54,45,207,Node-072
ML Training,24,82,607,Low,11,29,121,Node-073
Analytics,12,59,326,Medium,28,46,195,Node-074
Simulation,5,23,244,Low,12,46,229,Node-075
Data Processing,2,5,10,Low,28,45,220,Node-076
ML Training,12,42,429,Low,8,9,76,Node-077
Simulation,8,49,374,Medium,35,57,251,Node-078
Analytics,11,40,418,Low,21,46,173,Node-079
ETL,7,27,398,High,18,37,184,Node-080
Simulation,28,94,593,Critical,58,56,241,Node-081
Data Processing,27,80,612,High,53,22,103,Node-082
Data Processing,26,81,701,Medium,10,24,112,Node-083
Data Processing,20,73,419,Critical,27,38,171,Node-084
ML Training,14,55,519,Medium,61,53,234,Node-085
ETL,4,21,249,Medium,80,28,115,Node-086
ML Training,22,60,341,Medium,55,27,108,Node-087
Analytics,24,87,570,Low,27,50,241,Node-088
Analytics,6,21,324,High,52,42,177,Node-089
ML Training,3,15,128,Medium,71,58,256,Node-090
ETL,29,103,485,Medium,44,58,234,Node-091
Analytics,12,50,192,Medium,6,49,214,Node-092
ML Training,29,92,714,High,28,43,192,Node-093
Analytics,26,87,608,Medium,55,21,110,Node-094
Simulation,18,69,431,Low,65,33,162,Node-095
Data Processing,31,102,740,Medium,11,37,164,Node-096
Simulation,14,42,486,Critical,93,58,245,Node-097
ML Training,12,40,380,High,75,13,77,Node-098
Analytics,14,38,569,Critical,26,41,167,Node-099
Data Processing,2,14,50,Medium,85,9,48,Node-100
Data Processing,22,74,477,High,36,55,254,Node-001
Data Processing,28,100,625,Medium,52,33,172,Node-002
Simulation,12,31,246,Low,54,27,111,Node-003
Simulation,29,102,680,Low,14,21,88,Node-004
Simulation,14,58,448,High,8,36,184,Node-005
ETL,17,54,454,High,43,20,102,Node-006
Analytics,18,64,473,Low,80,64,256,Node-007
Analytics,15,47,453,Medium,84,54,225,Node-008
Data Processing,11,28,374,High,20,26,121,Node-009
Simulation,18,44,542,High,84,9,40,Node-010
Simulation,29,88,726,Low,13,54,256,Node-011
ML Training,27,73,716,High,15,28,122,Node-012
ETL,31,94,812,Critical,86,33,140,Node-013
Simulation,26,102,525,Medium,38,63,239,Node-014
ML Training,32,108,847,Low,48,17,66,Node-015
Data Processing,1,2,191,Medium,32,19,93,Node-016
ETL,15,61,260,Low,65,9,79,Node-017
Analytics,19,67,400,Low,83,59,228,Node-018
ML Training,13,53,474,High,94,52,250,Node-019
ML Training,14,53,338,High,32,21,83,Node-020
ETL,3,9,202,Low,60,33,137,Node-021
Analytics,24,80,726,High,62,43,194,Node-022
ML Training,27,89,670,Medium,66,23,127,Node-023
Analytics,19,75,393,Low,17,46,177,Node-024
Simulation,32,105,895,Medium,66,23,85,Node-025
ML Training,26,83,766,Medium,57,12,99,Node-026
ETL,19,86,632,Medium,75,10,56,Node-027
Data Processing,25,92,551,Medium,28,64,249,Node-028
ML Training,25,87,640,Medium,46,60,256,Node-029
Analytics,17,42,476,High,60,14,92,Node-030
Simulation,28,82,705,Medium,48,25,125,Node-031
Analytics,23,83,792,High,76,52,238,Node-032
Analytics,10,29,242,High,13,57,237,Node-033
ML Training,20,76,433,Low,65,8,16,Node-034
ML Training,24,65,722,Medium,78,16,50,Node-035
Data Processing,22,85,589,Medium,52,31,111,Node-036
Data Processing,2,6,128,Medium,64,47,207,Node-037
ML Training,2,11,205,Medium,53,63,234,Node-038
ETL,31,100,751,High,46,14,78,Node-039
Analytics,24,84,465,Medium,39,50,241,Node-040
Data Processing,7,21,172,High,81,57,219,Node-041
ML Training,26,64,413,Medium,35,18,98,Node-042
Data Processing,19,51,591,Medium,39,48,176,Node-043
ML Training,4,40,165,High,68,51,235,Node-044
ML Training,12,43,354,Medium,46,64,256,Node-045
ML Training,28,87,581,Low,91,35,123,Node-046
ML Training,15,60,510,Medium,72,64,256,Node-047
Analytics,9,33,348,Critical,40,36,212,Node-048
ML Training,4,23,276,Low,90,20,71,Node-049
ML Training,20,76,451,Critical,67,60,256,Node-050
ML Training,4,9,10,High,39,42,191,Node-051
Data Processing,2,11,10,Critical,93,14,88,Node-052
Simulation,22,83,706,Medium,91,56,225,Node-053
Simulation,16,48,480,Medium,40,50,198,Node-054
ML Training,18,63,547,High,28,64,251,Node-055
Simulation,30,91,762,High,13,58,256,Node-056
ETL,4,17,202,High,34,17,104,Node-057
Simulation,6,27,100,Medium,34,24,142,Node-058
ML Training,28,82,698,High,75,40,172,Node-059
Data Processing,27,98,630,Medium,62,43,157,Node-060
ETL,22,77,528,High,90,23,81,Node-061
ETL,23,59,793,Medium,91,56,245,Node-062
ML Training,3,28,133,Medium,92,53,205,Node-063
Data Processing,9,34,440,Medium,72,19,69,Node-064
ML Training,13,42,448,Critical,63,37,149,Node-065
ML Training,30,83,748,High,15,55,229,Node-066
ETL,26,77,695,Low,54,63,244,Node-067
Analytics,11,48,248,Medium,39,50,201,Node-068
Data Processing,3,16,144,Low,76,43,163,Node-069
ML Training,26,106,664,High,55,22,91,Node-070
ML Training,24,73,503,High,30,58,256,Node-071
Simulation,16,34,327,High,41,57,242,Node-072
Data Processing,8,17,387,Low,62,50,203,Node-073
Data Processing,7,52,285,Medium,58,30,148,Node-074
ETL,26,61,704,High,61,64,256,Node-075
Data Processing,24,62,698,Medium,19,25,114,Node-076
Simulation,22,89,518,Medium,43,25,121,Node-077
Data Processing,29,95,493,Low,11,40,180,Node-078
ML Training,26,75,625,Low,59,40,187,Node-079
Simulation,18,89,486,Medium,11,27,164,Node-080
Analytics,27,95,681,Medium,30,39,204,Node-081
ML Training,31,112,696,Medium,27,47,168,Node-082
Analytics,26,78,639,Medium,67,29,144,Node-083
Analytics,31,100,634,Critical,57,10,39,Node-084
Analytics,13,51,383,Low,74,63,256,Node-085
Simulation,22,66,757,High,55,47,192,Node-086
ML Training,2,30,176,Medium,40,20,61,Node-087
Data Processing,24,70,640,Medium,30,57,223,Node-088
ML Training,10,38,298,Medium,24,36,136,Node-089
ML Training,20,65,447,High,47,64,256,Node-090
ML Training,2,11,10,Medium,46,44,210,Node-091
Data Processing,18,61,492,Medium,82,37,211,Node-092
Data Processing,19,54,540,Low,89,44,200,Node-093
ML Training,4,22,81,High,14,30,153,Node-094
Simulation,12,36,382,High,22,32,158,Node-095
Simulation,22,60,420,Low,81,56,221,Node-096
Simulation,19,59,662,Medium,54,9,42,Node-097
Simulation,12,35,318,High,87,17,116,Node-098
ETL,12,34,366,High,24,49,192,Node-099
Data Processing,18,48,609,Medium,71,40,198,Node-100
ML Training,11,35,234,Low,66,14,82,Node-001
Simulation,18,59,485,Low,37,37,182,Node-002
Data Processing,2,11,371,Low,89,17,85,Node-003
ETL,19,78,564,Medium,38,14,118,Node-004
Simulation,11,47,407,Medium,32,33,161,Node-005
Analytics,14,62,397,High,82,64,256,Node-006
ETL,20,69,421,Critical,57,12,84,Node-007
ETL,5,23,167,High,23,14,69,Node-008
Analytics,30,102,647,Medium,64,51,231,Node-009
Simulation,14,57,527,High,43,21,116,Node-010
ML Training,29,90,646,Low,61,8,62,Node-011
ML Training,27,93,565,High,32,43,219,Node-012
ETL,29,91,796,High,27,53,235,Node-013
ML Training,27,90,665,Medium,66,39,131,Node-014
Data Processing,5,2,255,Medium,18,13,69,Node-015
Data Processing,13,51,367,Medium,94,52,225,Node-016
ETL,5,32,111,Low,61,40,166,Node-017
Analytics,3,24,138,Medium,73,15,65,Node-018
Analytics,22,72,511,Low,59,10,33,Node-019
ML Training,11,38,509,High,5,22,120,Node-020
ETL,29,75,926,Critical,81,21,92,Node-021
Data Processing,30,111,793,High,49,50,223,Node-022
Simulation,24,85,610,Medium,76,30,129,Node-023
Simulation,24,58,585,Medium,91,51,243,Node-024
Analytics,12,40,131,High,58,37,142,Node-025
Analytics,16,56,427,Medium,5,56,249,Node-026
Data Processing,5,29,311,Medium,71,43,201,Node-027
Data Processing,14,54,398,Medium,27,47,217,Node-028
ML Training,13,44,522,Medium,35,30,147,Node-029
Analytics,10,45,251,Medium,57,28,156,Node-030
Analytics,2,12,90,Medium,63,46,235,Node-031
Analytics,7,54,379,Medium,85,43,191,Node-032
Data Processing,12,64,407,Low,56,47,191,Node-033
Data Processing,13,57,321,Critical,66,52,234,Node-034
ML Training,27,76,492,Low,71,8,67,Node-035
Simulation,4,27,139,Critical,72,25,129,Node-036
ML Training,32,88,824,Low,73,50,208,Node-037
Simulation,24,68,612,Critical,36,29,123,Node-038
Data Processing,24,76,635,Medium,43,63,236,Node-039
ETL,13,45,511,Medium,16,39,180,Node-040
ETL,25,71,559,Low,13,51,215,Node-041
Data Processing,10,29,365,High,87,50,194,Node-042
Analytics,5,9,213,Medium,67,61,249,Node-043
Analytics,28,100,498,Medium,11,10,35,Node-044
Analytics,14,43,522,High,13,11,70,Node-045
Simulation,20,85,456,High,58,49,201,Node-046
ML Training,18,70,348,High,23,59,256,Node-047
ML Training,11,53,446,High,17,49,195,Node-048
Simulation,18,56,379,High,69,22,119,Node-049
